Error Message,Structure String
Invalid POSCAR format,"Ag6 O2
1.0
   7.2767703699999999   -0.0000000000000000    0.0000000000000000
   0.0000000000000000    8.5975107999999999    0.0000000000000000
  -0.0000000000000000    0.0000000000000000   14.0279919100000003
Ag O Ag Ag
12 4 12
direct
   0.2555054400000000    0.2500054400000000    0.0000000000000000 Ag
   0.0000000000000000    0.2499955600000000    0.0000000000000000 Ag
   0.2555054400000000    0.7499955600000000    0.0000000000000000 Ag
   0.7499955600000000    0.2500054400000000    0.0000000000000000 Ag
   0.2549590600000000    0.2499955600000000    7.1258361899999999
   0.7450409400000000    0.7499955600000000    7.1258361899999999
   0.2549590600000000    0.7500054400000000    6.8761638100000001
   0.7450409400000000    0.2500054400000000    6.8761638100000001
   0.0000000000000000    0.2500000000000000    6.4877184700000001
   0.0000000000000000    0.7500000000000000    7.5322815300000003
   0.0000000000000000    0.2500000000000000    7.5322815300000003
   0.0000000000000000    0.7500000000000000    6.4877184700000001
   0.0000000000000000    0.2500000000000000    0.0000000000000000
   0.0000000000000000    0.7500000000000000    14.0279919100000003
   0.0000000000000000    0.2500000000000000   13.0279919100000003
   0.0000000000000000    0.7500000000000000   14.0279919100000003
   0.0000000000000000    0.2500000000000000    0.0000000000000000
   0.7499955600000000    0.2500054400000000    6.8740774000000002
   0.2499955600000000    0.7500054400000000    7.1259226000000001
   0.7499955600000000    0.2500054400000000    7.1259226000000001
   0.2499955600000000    0.7500054400000000    6.8740774000000002
   0.0000000000000000    0.2500000000000000    7.8740774000000002
   0.0000000000000000    0.7500000000000000    6.1259226000000001
   0.0000000000000000    0.2500000000000000    6.1259226000000001
   0.0000000000000000    0.7500000000000000    7.8740774000000002
   0.0000000000000000    0.2500000000000000    0.0000000000000000
   0.0000000000000000    0.7500000000000000    0.0000000000000000
   0.0000000000000000    0.2500000000000000    14.0279919100000003
   0.0000000000000000    0.7500000000000000    0.0000000000000000
   0.0000000000000000    0.2500000000000000   13.0279919100000003
   0.0000000000000000    0.7500000000000000   14.0279919100000003
   0.2499955600000000    0.7500054400000000    0.0000000000000000
   0.7499955600000000    0.2500054400000000    0.0000000000000000
   0.7499955600000000    0.7500054400000000    14.0279919100000003
   0.2499955600000000    0.2500054400000000    14.0279919100000003
   0.2499955600000000    0.7500054400000000    13.0279919100000003
   0.7499955600000000    0.2500054400000000    13.0279919100000003
   0.7499955600000000    0.7500054400000000    0.0000000000000000
   0.2499955600000000    0.2500054400000000    0.0000000000000000
   0.7499955600000000    0.2500054400000000    6.8740774000000002
   0.2499955600000000    0.7500054400000000    6.8740774000000002
   0.7499955600000000    0.2500054400000000    7.1259226000000001
   0.2499955600000000    0.7500054400000000    7.1259226000000001
   0.2499955600000000    0.7500054400000000    0.0000000000000000
   0.7499955600000000    0.2500054400000000    0.0000000000000000
   0.0000000000000000    0.0000000000000000    0.0000000000000000
   0.0000000000000000    0.0000000000000000   14.0279919100000003
   0.0000000000000000    0.0000000000000000   13.0279919100000003
   0.0000000000000000    0.0000000000000000    0.0000000000000000
   0.0000000000000000    0.0000000000000000   14.0279919100000003
   0.0000000000000000    0.0000000000000000   13.0279919100000003"
Invalid POSCAR format,"Ag6 O2
1.0
   8.2756541800000001    0.0000000000000000    0.0000000000000000
   0.0000000000000000    8.2756541800000001    0.0000000000000000
   0.0000000000000000    0.0000000000000000   15.1906114700000002
Ag O Ag Ag
12 4 12
direct
   0.0000000000000000    0.5000000000000000    0.5000000000000000 Ag
   0.0000000000000000    0.0000000000000000    0.5000000000000000 Ag
   0.0000000000000000    0.5000000000000000    0.0000000000000000 Ag
   0.0000000000000000    0.5000000000000000    0.0000000000000000 Ag
   0.5000000000000000    0.0000000000000000    0.0000000000000000 Ag
   0.0000000000000000    0.5000000000000000    0.0000000000000000 Ag
   0.0000000000000000    0.0000000000000000    0.0000000000000000 Ag
   0.5000000000000000    0.5000000000000000    0.0000000000000000 Ag
   0.0000000000000000    0.5000000000000000    0.5000000000000000 Ag
   0.5000000000000000    0.0000000000000000    0.5000000000000000 Ag
   0.0000000000000000    0.0000000000000000    0.5000000000000000 Ag
   0.5000000000000000    0.5000000000000000    0.5000000000000000 Ag
   0.7453819000000000    0.5000000000000000    0.0000000000000000 O
   0.7546181000000000    0.5000000000000000    0.0000000000000000 O
   0.4453819000000000    0.0000000000000000    0.0000000000000000 O
   0.5546181000000000    0.0000000000000000    0.0000000000000000 O
   0.2464059400000000    0.0000000000000000    0.5000000000000000 O
   0.2535940600000000    0.0000000000000000    0.5000000000000000 O
   0.2464059400000000    0.5000000000000000    0.0000000000000000 O
   0.2535940600000000    0.5000000000000000    0.0000000000000000 O
   0.4981909900000000    0.4998090100000000    0.2500000000000000 O
   0.5018090100000000    0.4998090100000000    0.2500000000000000 O
   0.0000000000000000    0.0000000000000000    7.9453096300000001
   0.0000000000000000    0.0000000000000000    7.2546903700000001
   0.0000000000000000    0.0000000000000000    7.9453096300000001
   0.0000000000000000    0.0000000000000000    7.2546903700000001"
Invalid POSCAR format,"Ag6 O2
1.0
   8.1234261300000002    0.0000000000000000    0.0000000000000000
   0.0000000000000000    5.9979245399999998    0.0000000000000000
   0.0000000000000000    0.0000000000000000   10.1426541000000002
Ag O Ag Ag
12 4 12
direct
   0.5000000000000000    0.0000000000000000    0.5000000000000000 Ag
   0.0000000000000000    0.0000000000000000    0.5000000000000000 Ag
   0.0000000000000000    0.5000000000000000    0.0000000000000000 Ag
   0.5000000000000000    0.5000000000000000    0.0000000000000000 Ag
   0.0000000000000000    0.2500000000000000    0.2500000000000000 Ag
   0.0000000000000000    0.7500000000000000    0.2500000000000000 Ag
   0.5000000000000000    0.0000000000000000    0.5000000000000000 Ag
   0.0000000000000000    0.5000000000000000    0.0000000000000000 Ag
   0.5000000000000000    0.2500000000000000    0.2500000000000000 Ag
   0.5000000000000000    0.7500000000000000    0.2500000000000000 Ag
   0.0000000000000000    0.5000000000000000    0.0000000000000000 Ag
   0.0000000000000000    0.2500000000000000    0.2500000000000000 Ag
   0.0000000000000000    0.7500000000000000    0.2500000000000000 Ag
   0.0000000000000000    0.2500000000000000    0.5000000000000000 O
   0.0000000000000000    0.7500000000000000    0.5000000000000000 O
   0.5000000000000000    0.0000000000000000    0.2500000000000000 O
   0.5000000000000000    0.5000000000000000    0.2500000000000000 O
   0.5000000000000000    0.2500000000000000    0.0000000000000000 O
   0.5000000000000000    0.7500000000000000    0.0000000000000000 O
   0.2500000000000000    0.0000000000000000    0.2500000000000000 O
   0.7500000000000000    0.0000000000000000    0.2500000000000000 O
   0.2500000000000000    0.0000000000000000    0.5000000000000000 O
   0.7500000000000000    0.0000000000000000    0.5000000000000000 O
   0.0000000000000000    0.0000000000000000    0.0000000000000000 O
   0.0000000000000000    0.0000000000000000   10.1426541000000002
   0.0000000000000000    0.0000000000000000   10.1426541000000002
   0.0000000000000000    0.0000000000000000    0.0000000000000000
   0.0000000000000000    0.0000000000000000   10.1426541000000002
   0.0000000000000000    0.0000000000000000   10.1426541000000002
   0.0000000000000000    0.0000000000000000    0.0000000000000000"
Invalid POSCAR format,"Ag6 O2
1.0
   6.277330     0.000000    2.736350
   0.000000     6.277330    2.736350
   0.000000     0.000000    4.736350
Ag  0.998930 0.000000 0.000000
Ag  0.000000 0.998930 0.000000
Ag  0.999280 0.000000 0.999280
Ag  0.000000 0.999280 0.999280
Ag -0.000008 0.000000 -0.000008
Ag -0.999280 -0.000008 -0.999280
Ag  0.999280 -0.000008 -0.999280
O   0.000000 0.000000 2.736350
O   0.000000 0.000000 1.736350
direct
   0.091355  0.000000  0.000000 Ag
   0.091355  0.000000  0.000000 Ag
   0.476145  0.500000  0.000000 Ag
   0.000000  0.500000  0.000000 Ag
   0.495065  0.000000  0.476145 Ag
   0.000000  0.000000  0.476145 Ag
   0.500000  0.000000  0.995065 Ag
   0.000000  0.000000  0.995065 Ag
   0.999300  0.500000  0.000000 O
   0.000000  0.500000  0.000000 O"
Invalid POSCAR format,"Ag6 O2
1.0
   6.277330     0.000000    2.736350
   0.000000     6.277330    2.736350
   0.000000     0.000000    4.736350
Ag  0.998930 0.000000 0.000000
Ag  0.000000 0.998930 0.000000
Ag  0.999280 0.000000 0.999280
Ag  0.000000 0.999280 0.999280
Ag -0.000008 0.000000 -0.000008
Ag -0.999280 -0.000008 -0.999280
Ag  0.999280 -0.000008 -0.999280
O   0.000000 0.000000 2.736350
O   0.000000 0.000000 1.736350
O   0.000000 0.000000 3.736350
O   0.000000 0.000000 4.736350
direct
   0.091355  0.000000  0.000000 Ag
   0.091355  0.000000  0.000000 Ag
   0.476145  0.500000  0.000000 Ag
   0.000000  0.500000  0.000000 Ag
   0.495065  0.000000  0.476145 Ag
   0.000000  0.000000  0.476145 Ag
   0.500000  0.000000  0.995065 Ag
   0.000000  0.000000  0.995065 Ag
   0.999300  0.500000  0.000000 O
   0.000000  0.500000  0.000000 O
   0.500000  0.000000  0.999300 O
   0.000000  0.000000  0.999300 O"
Invalid POSCAR format,"Ag6 O2
1.0
   6.277330     0.000000    2.736350
   0.000000     6.277330    2.736350
   0.000000     0.000000    4.736350
Ag  0.998930 0.000000 0.000000
Ag  0.000000 0.998930 0.000000
Ag  0.999280 0.000000 0.999280
Ag  0.000000 0.999280 0.999280
Ag -0.000008 0.000000 -0.000008
Ag -0.999280 -0.000008 -0.999280
Ag  0.999280 -0.000008 -0.999280
O   0.000000 0.000000 2.736350
O   0.000000 0.000000 1.736350
O   0.000000 0.000000 3.736350
O   0.000000 0.000000 4.736350
O   1.000000 1.000000 1.000000

direct
   0.091355  0.000000  0.000000 Ag
   0.091355  0.000000  0.000000 Ag
   0.476145  0.500000  0.000000 Ag
   0.000000  0.500000  0.000000 Ag
   0.495065  0.000000  0.476145 Ag
   0.000000  0.000000  0.476145 Ag
   0.500000  0.000000  0.995065 Ag
   0.000000  0.000000  0.995065 Ag
   0.999300  0.500000  0.000000 O
   0.000000  0.500000  0.000000 O
   0.500000  0.000000  0.999300 O
   0.000000  0.000000  0.999300 O"
Invalid POSCAR format,"Ag6 O2
1.0
   6.277330     0.000000    2.736350
   0.000000     6.277330    2.736350
   0.000000     0.000000    4.736350
Ag  0.998930 0.000000 0.000000
Ag  0.000000 0.998930 0.000000
Ag  0.999280 0.000000 0.999280
Ag  0.000000 0.999280 0.999280
Ag -0.000008 0.000000 -0.000008
Ag -0.999280 -0.000008 -0.999280
Ag  0.999280 -0.000008 -0.999280
O   0.000000 0.000000 2.736350
O   0.000000 0.000000 1.736350
O   0.000000 0.000000 3.736350
O   0.000000 0.000000 4.736350
direct
   0.091355  0.000000  0.000000 Ag
   0.091355  0.000000  0.000000 Ag
   0.476145  0.500000  0.000000 Ag
   0.000000  0.500000  0.000000 Ag
   0.495065  0.000000  0.476145 Ag
   0.000000  0.000000  0.476145 Ag
   0.500000  0.000000  0.995065 Ag
   0.000000  0.000000  0.995065 Ag
   0.999300  0.500000  0.000000 O
   0.000000  0.500000  0.000000 O
   0.500000  0.000000  0.999300 O
   0.000000  0.000000  0.999300 O"
Invalid POSCAR format,"Ag6 O2
1.0
   6.277330     0.000000    2.736350
   0.000000     6.277330    2.736350
   0.000000     0.000000    4.736350
Ag  0.998930 0.000000 0.000000
Ag  0.000000 0.998930 0.000000
Ag  0.999280 0.000000 0.999280
Ag  0.000000 0.999280 0.999280
Ag -0.000008 0.000000 -0.000008
Ag -0.999280 -0.000008 -0.999280
Ag  0.999280 -0.000008 -0.999280
O   0.000000 0.000000 2.736350
O   0.000000 0.000000 1.736350
O   0.000000 0.000000 3.736350
O   0.000000 0.000000 4.736350
direct
   0.091355  0.000000  0.000000 Ag
   0.091355  0.000000  0.000000 Ag
   0.476145  0.500000  0.000000 Ag
   0.000000  0.500000  0.000000 Ag
   0.495065  0.000000  0.476145 Ag
   0.000000  0.000000  0.476145 Ag
   0.500000  0.000000  0.995065 Ag
   0.000000  0.000000  0.995065 Ag
   0.999300  0.500000  0.000000 O
   0.000000  0.500000  0.000000 O
   0.500000  0.000000  0.999300 O
   0.000000  0.000000  0.999300 O"
Invalid POSCAR format,"6
2.3
   7.2365199700000001    0.0000000000000000    0.0000000000000000
   0.0000000000000000    6.3112795500000003    0.0000000000000000
   0.0000000000000000    0.0000000000000000    3.5506335099999998
Ag O Ag O Ag
6 2 6 2
direct
   0.3552630000000000    0.2494872200000000    0.8502564000000000 Ag
   0.6760637900000000    0.3067703200000000    0.0746632500000000 O
   0.3552630000000000    0.7494872200000000    0.8502564000000000 Ag
   0.6760637900000000    0.9932316800000000    0.0746632500000000 O
   0.3552630000000000    0.2494872200000000    0.1492564000000000 Ag
   0.6760637900000000    0.5031954000000000    0.1746632500000000 O
   0.3552630000000000    0.7494872200000000    0.1492564000000000 Ag
   0.6760637900000000    1.0682489200000000    0.1746632500000000 O
   0.3552630000000000    0.2494872200000000    2.2502564000000000 Ag
   0.6760637900000000    0.6745656000000000    2.1746632500000000 O
   0.3552630000000000    0.7494872200000000    2.2502564000000000 Ag
   0.6760637900000000    1.3943351100000000    2.1746632500000000 O"
Invalid POSCAR format,"8
2.3
   6.1683247000000003    0.0000000000000000    0.0000000000000000
   0.0000000000000000    6.1683247000000003    0.0000000000000000
   0.0000000000000000    0.0000000000000000    3.5401760099999999
Ag O Ag Ag Ag Ag Ag
8 2 8 2
 direct
   0.2213065300000000    0.2404553300000000    0.0000000000000000 Ag
   0.7213085500000000    0.2395446900000000    0.0000000000000000 Ag
   0.2213065300000000    0.2404553300000000    0.9000000000000000 Ag
   0.7213085500000000    0.2395446900000000    0.9000000000000000 Ag
   0.2213065300000000    0.2404553300000000    1.8000000000000000 Ag
   0.7213085500000000    0.2395446900000000    1.8000000000000000 Ag
   0.2003739000000000    0.7705043500000000    0.1501234400000000 O
   0.7164415300000000    0.2315154400000000    0.1501234400000000 O
   0.2003739000000000    0.7705043500000000    1.0498765600000000 O
   0.7164415300000000    0.2315154400000000    1.0498765600000000 O"
